UPC,Description,GQPI_CODE
5,BAG RETURN,999
6,HONEY CUPS,11
10,PIER ICE,99
12,AQUAFINA W,99
13,EASTERN BA,999
16,MILLS COFFEE,99
21,BELMONT RE,999
23,BELMONT COLLAPSABLE,999
24,POLAND SPRING 24PACK,99
25,HONEY STICKS,11
27,BELMONTS W,999
29,COTTON BAG,999
32,CCMS BAG 1,999
33,SK REUSABLE CANVAS B,999
36,ARTIST CAR,999
37,ARTIST TAG,999
38,ARTIST PHO,99
40,ARTISAN CA,999
55,CONSULTATION,999
69,BEL PAESE,6
75,BELMONTS OWN LOCAL H,11
82,TARALLI'S BLACK PEP,9
87,MIMI EGG BISCUITS,9
88,MIMI ASSORTED BISCOT,9
99,BUTTER STI,99
100,EQUAL EXCHANGE COFFE,99
102,OLIVE BAR,3
103,SCONES,9
105,CREAM CHEESE SINGLES,6
199,VENDA FETT/ LING NOO,9
201,LOL AMERIC,6
211,DANIELE ITALIAN SAUS,10
212,DANIELE HOT ITALIAN,10
214,WHITE WINE BISCUITS,9
215,RED WINE BISCUITS,9
217,HONEY TORRONE 14 OZ,11
218,CHOC WALNUT BISCOTTI,9
224,ALMOND BISCOTTI,9
227,$2 Off $10 Seafood,999
229,STOP N SHOP $5 OFF $,999
233,$5 OFF $25 OR MORE,999
237,$1.OO OFF,999
239,BELMONT IN,999
241,KOMBUCHA 32oz ON TAP,11
242,KOMBUCHA 16oz ON TAP,11
243,GROWLETTE,99
244,BOTTLE 16,99
260,MIKE SHEA',99
270,DONUTS,9
271,PASTRY PIECE,9
272,MUFFINS,9
275,SUNRISE SPECIAL,99
277,ROLLS,9
300,BELMONTS NATURAL PEA,8
301,BELMONT'S ORG PEANUT,8
302,BELMONT'S HONEY ROAS,8
303,BELMONT'S ALMOND BUT,8
384,LOOSE MIXED NUTS,8
385,RASPBERRIES,2
399,PAPPARDELL,9
415,STRAWBERRIES,2
452,BOK CHOY,3
453,ORG HEIRLOOM CHERRY,2
499,DASANI 24 PK,99
500,ANIMAL RESCUE LEAGUE,999
521,$15 PIER L,999
523,$10 PIER PIZZA,999
524,$20 STEDMAN GIFT CAR,999
525,$35 OML GIFT CARD,999
